DPC/ISR Enter Time (s),Type,Duration (Fragmented) (ms)
"48,462773300",DPC,"0,012500"
"48,481767100",Interrupt,"0,002500"
"48,481770700",DPC,"0,008600"
"48,962769200",Interrupt,"0,003000"
"48,962773300",DPC,
"48,981767700",Interrupt,"0,002200"
"48,981771100",DPC,"0,007600"
"49,462768100",Interrupt,"0,003200"
"49,462772500",DPC,"0,013600"
"49,481768300",Interrupt,"0,002500"
"49,481772000",DPC,"0,007700"
"49,962768600",Interrupt,"0,002700"
"49,962772400",DPC,"0,011900"
"49,981777300",Interrupt,"0,002100"
"49,981804900",DPC,"0,008400"
"50,462769200",Interrupt,"0,002800"
"50,462773200",DPC,"0,012400"
"50,481769000",Interrupt,"0,002200"
"50,481772300",DPC,"0,008600"
"50,962776100",Interrupt,"0,002400"
"50,962836500",DPC,"0,017000"
"50,981769500",Interrupt,"0,002200"
"50,981772900",DPC,"0,007600"
"51,462769700",Interrupt,"0,004800"
"51,462780000",DPC,"0,013500"
"51,481769700",Interrupt,"0,002300"
"51,481773100",DPC,"0,008000"
"51,962770900",Interrupt,"0,003000"
"51,962791500",DPC,"0,013400"
"51,981770600",Interrupt,"0,002300"
"51,981774000",DPC,"0,008400"
"52,462794900",Interrupt,"0,003800"
"52,462814800",DPC,"0,013000"
"52,481770800",Interrupt,"0,002300"
"52,481774300",DPC,"0,007900"
"52,962792700",Interrupt,"0,004000"
"52,962812600",DPC,"0,013400"
"52,981771500",Interrupt,"0,002300"
"52,981774900",DPC,"0,008200"
"53,462772400",Interrupt,"0,003400"
"53,462776900",DPC,
"53,481771900",Interrupt,"0,002700"
"53,481775800",DPC,"0,012200"
"53,962772500",Interrupt,"0,002700"
"53,962776400",DPC,
"53,981772300",Interrupt,"0,002400"
"53,981775800",DPC,"0,009600"
"54,462770500",Interrupt,"0,003100"
"54,462774800",DPC,"0,013200"
"54,481772900",Interrupt,"0,002700"
"54,481776900",DPC,"0,011200"
"54,962773400",Interrupt,"0,002400"
"54,962777000",DPC,"0,011700"
"54,981773600",Interrupt,"0,002600"
"54,981777400",DPC,"0,008200"
"55,462775500",Interrupt,"0,003400"
"55,462780000",DPC,"0,018100"
"55,481774000",Interrupt,"0,002900"
"55,481778100",DPC,"0,011800"
"55,962774400",Interrupt,"0,002600"
"55,962778100",DPC,
"55,981774400",Interrupt,"0,002700"
"55,981778300",DPC,"0,010400"
"56,462774900",Interrupt,"0,003300"
"56,462779500",DPC,"0,012400"
"56,481774900",Interrupt,"0,002700"
"56,481778800",DPC,"0,011600"
"56,962775700",Interrupt,"0,002600"
"56,962796300",DPC,"0,013300"
"56,981775100",Interrupt,"0,002300"
"56,981778600",DPC,"0,007500"
"57,462776100",Interrupt,"0,003600"
"57,462781000",DPC,"0,014500"
"57,481776900",Interrupt,"0,002900"
"57,481781000",DPC,"0,011500"
"57,962776300",Interrupt,"0,002800"
"57,962780200",DPC,"0,013500"
"57,981776100",Interrupt,"0,002200"
"57,981779500",DPC,"0,008600"
"58,462777000",Interrupt,"0,003600"
"58,462781800",DPC,"0,014000"
"58,481776700",Interrupt,"0,002700"
"58,481780600",DPC,"0,012100"
"58,962777200",Interrupt,"0,002800"
"58,962781100",DPC,"0,013100"
"58,981777100",Interrupt,"0,002100"
"58,981780400",DPC,"0,007600"
"59,462777800",Interrupt,"0,003300"
"59,462782200",DPC,"0,013200"
"59,481778200",Interrupt,"0,002500"
"59,481781900",DPC,"0,011000"
"59,962778200",Interrupt,"0,002900"
"59,962782200",DPC,"0,012200"
"59,981778300",Interrupt,"0,002100"
"59,981781500",DPC,"0,007600"
"60,462778700",Interrupt,"0,003000"
"60,462782800",DPC,"0,012800"
"60,481783100",Interrupt,"0,002300"
"60,481811000",DPC,"0,010900"
"60,962779100",Interrupt,"0,002600"
"60,962782800",DPC,"0,011600"
"60,981779100",Interrupt,"0,002200"
"60,981782500",DPC,"0,009200"
"61,462780100",Interrupt,"0,002900"
"61,462784100",DPC,"0,014000"
"61,481779600",Interrupt,"0,002600"
"61,481783300",DPC,"0,011600"
"61,962794300",Interrupt,"0,002400"
"61,962805900",DPC,"0,012200"
"61,981780100",Interrupt,"0,002300"
"61,981783600",DPC,"0,007900"
"62,462784600",Interrupt,"0,002900"
"62,462795700",DPC,"0,018000"
"62,481780300",Interrupt,"0,002700"
"62,481784200",DPC,"0,011200"
"62,962781200",Interrupt,"0,002700"
"62,962785100",DPC,"0,011700"
"62,981780800",Interrupt,"0,002200"
"62,981784100",DPC,"0,007900"
"63,462781600",Interrupt,"0,003300"
"63,462786100",DPC,"0,012900"
"63,481781700",Interrupt,"0,002400"
"63,481785300",DPC,"0,009200"
"63,962782300",Interrupt,"0,002700"
"63,962786200",DPC,"0,012300"
"63,981783100",Interrupt,"0,002200"
"63,981786500",DPC,"0,007400"
"64,462782300",Interrupt,"0,003000"
"64,462786500",DPC,
"64,481782400",Interrupt,"0,002400"
"64,481786100",DPC,"0,008100"
"64,962783200",Interrupt,"0,002500"
"64,962786900",DPC,"0,012800"
"64,981782900",Interrupt,"0,002200"
"64,981786300",DPC,"0,007000"
"65,462783500",Interrupt,"0,003000"
"65,462787700",DPC,"0,013500"
"65,481783300",Interrupt,"0,002600"
"65,481787000",DPC,"0,011300"
"65,962783900",Interrupt,"0,002600"
"65,962787700",DPC,"0,011700"
"65,981784100",Interrupt,"0,002300"
"65,981787500",DPC,"0,008100"
"66,462784500",Interrupt,"0,002800"
"66,462788500",DPC,"0,012100"
"66,481784300",Interrupt,"0,002400"
"66,481787800",DPC,"0,007800"
"66,962785300",Interrupt,"0,002900"
"66,962789500",DPC,"0,011200"
"66,981784600",Interrupt,"0,002100"
