DPC/ISR Enter Time (s),Type,Duration (Fragmented) (ms)
"41,983273800",Interrupt,"0,003100"
"41,983278100",DPC,"0,014900"
"42,464274400",Interrupt,"0,004700"
"42,464283600",DPC,"0,025900"
"42,483274400",Interrupt,"0,003000"
"42,483278700",DPC,"0,015100"
"42,964275300",Interrupt,"0,003800"
"42,964280300",DPC,"0,029300"
"42,983275300",Interrupt,"0,002800"
"42,983279300",DPC,"0,013600"
"43,464275900",Interrupt,"0,004400"
"43,464281500",DPC,"0,029200"
"43,483276000",Interrupt,"0,003100"
"43,483280300",DPC,"0,014800"
"43,964276100",Interrupt,"0,004400"
"43,964281700",DPC,"0,029200"
"43,983276400",Interrupt,"0,003200"
"43,983280800",DPC,
"44,464276800",Interrupt,"0,004300"
"44,464282300",DPC,
"44,483276700",Interrupt,"0,002900"
"44,483280800",DPC,"0,017200"
"44,964288200",Interrupt,"0,004000"
"44,964302300",DPC,
"44,983296400",Interrupt,"0,002600"
"44,983335100",DPC,"0,019300"
"45,464277900",Interrupt,"0,004600"
"45,464283600",DPC,"0,029000"
"45,483301800",Interrupt,"0,004600"
"45,483323100",DPC,"0,021800"
"45,964277800",Interrupt,"0,004200"
"45,964285500",DPC,"0,027500"
"45,983279100",Interrupt,"0,002800"
"45,983283100",DPC,"0,013000"
"46,464278900",Interrupt,"0,004100"
"46,464284200",DPC,"0,029400"
"46,483278800",Interrupt,"0,003000"
"46,483283000",DPC,"0,013200"
"46,964279400",Interrupt,"0,005000"
"46,964285800",DPC,"0,038600"
"46,983279200",Interrupt,"0,002800"
"46,983283100",DPC,"0,013100"
"47,464279600",Interrupt,"0,004200"
"47,464285000",DPC,"0,029400"
"47,483285300",Interrupt,"0,002900"
"47,483295500",DPC,"0,017900"
"47,964280000",Interrupt,"0,004000"
"47,964285200",DPC,"0,028700"
"47,983280400",Interrupt,"0,003500"
"47,983285000",DPC,"0,017200"
"48,464281800",Interrupt,"0,004200"
"48,464302800",DPC,"0,024400"
"48,483280500",Interrupt,"0,002500"
"48,483284200",DPC,"0,012400"
"48,964287400",Interrupt,"0,003600"
"48,964297700",DPC,
"48,983281100",Interrupt,"0,003100"
"48,983285400",DPC,
"49,464277600",Interrupt,"0,004300"
"49,464286300",DPC,
"49,483281300",Interrupt,"0,002800"
"49,483285300",DPC,"0,014300"
"49,964281900",Interrupt,"0,004400"
"49,964287400",DPC,"0,028300"
"49,983281900",Interrupt,"0,003400"
"49,983286400",DPC,"0,017600"
"50,464282900",Interrupt,"0,004400"
"50,464288500",DPC,"0,028700"
"50,483282500",Interrupt,"0,002900"
"50,483286700",DPC,"0,015600"
"50,964283000",Interrupt,"0,003800"
"50,964288000",DPC,"0,028600"
"50,983282700",Interrupt,"0,003300"
"50,983287200",DPC,
"51,464288700",Interrupt,"0,004200"
"51,464300400",DPC,"0,026500"
"51,483283100",Interrupt,"0,002900"
"51,483287200",DPC,"0,014900"
"51,964283900",Interrupt,"0,004400"
"51,964289500",DPC,"0,028900"
"51,983283800",Interrupt,"0,003500"
"51,983288500",DPC,"0,018000"
"52,464284500",Interrupt,"0,004200"
"52,464289800",DPC,
"52,483284300",Interrupt,"0,002700"
"52,483288100",DPC,"0,014200"
"52,964284900",Interrupt,"0,003800"
"52,964289900",DPC,"0,029300"
"52,983284200",Interrupt,"0,005100"
"52,983305700",DPC,"0,017100"
"53,464285400",Interrupt,"0,004400"
"53,464291000",DPC,"0,029300"
"53,483284900",Interrupt,"0,003500"
"53,483289900",DPC,"0,015300"
"53,964285800",Interrupt,"0,007000"
"53,964308800",DPC,"0,023900"
"53,983285200",Interrupt,"0,005600"
"53,983295800",DPC,"0,022800"
"54,464286600",Interrupt,"0,004400"
"54,464292100",DPC,"0,028200"
"54,483286200",Interrupt,"0,002700"
"54,483290200",DPC,"0,014900"
"54,964288000",Interrupt,"0,004300"
"54,964293600",DPC,
"54,983286700",Interrupt,"0,002800"
"54,983290700",DPC,"0,014400"
"55,464287300",Interrupt,"0,004400"
"55,464292900",DPC,"0,029400"
"55,483307000",Interrupt,"0,002500"
"55,483335200",DPC,"0,019000"
"55,964287900",Interrupt,"0,004100"
"55,964293100",DPC,"0,028300"
"55,983287600",Interrupt,"0,002700"
"55,983291400",DPC,"0,013600"
"56,464290000",Interrupt,"0,004200"
"56,464302000",DPC,"0,025000"
"56,483288100",Interrupt,"0,002700"
"56,483292000",DPC,"0,014300"
"56,964288800",Interrupt,"0,004200"
"56,964310200",DPC,"0,024400"
"56,983289800",Interrupt,"0,002800"
"56,983293700",DPC,"0,015100"
"57,464289400",Interrupt,"0,004400"
"57,464295000",DPC,"0,028400"
"57,483289200",Interrupt,"0,002900"
"57,483293300",DPC,"0,015200"
"57,964289800",Interrupt,"0,004100"
"57,964295100",DPC,"0,029100"
"57,983289400",Interrupt,"0,003300"
"57,983293900",DPC,
"58,464290100",Interrupt,"0,004200"
"58,464295500",DPC,"0,029500"
"58,483289900",Interrupt,"0,002900"
"58,483294000",DPC,"0,015000"
"58,964291000",Interrupt,"0,004100"
"58,964296200",DPC,"0,029000"
"58,983290400",Interrupt,"0,002800"
"58,983294400",DPC,"0,014600"
"59,464291200",Interrupt,"0,004300"
"59,464296800",DPC,
"59,483290800",Interrupt,"0,003000"
"59,483295000",DPC,"0,015200"
"59,964291400",Interrupt,"0,004900"
"59,964298200",DPC,"0,028100"
"59,983291500",Interrupt,"0,003000"
"59,983310800",DPC,"0,014800"
"60,464308200",Interrupt,"0,005500"
"60,464326300",DPC,"0,023800"
"60,483291900",Interrupt,"0,003200"
"60,483296300",DPC,"0,015900"
"60,964292600",Interrupt,"0,004000"
"60,964297800",DPC,"0,029300"
"60,983292400",Interrupt,"0,002800"
"60,983296300",DPC,"0,014500"
"61,464294200",Interrupt,"0,004200"
"61,464299600",DPC,"0,028300"
"61,483292900",Interrupt,"0,003100"
"61,483297200",DPC,"0,014400"
"61,964293600",Interrupt,"0,004100"
"61,964298800",DPC,"0,028300"
"61,983293200",Interrupt,"0,002600"
"61,983312500",DPC,"0,015000"
"62,464294100",Interrupt,"0,004200"
"62,464299500",DPC,"0,028100"
"62,483294000",Interrupt,"0,005100"
"62,483301300",DPC,"0,013400"
"62,964294500",Interrupt,"0,004600"
"62,964300300",DPC,
"62,983294500",Interrupt,"0,003200"
"62,983298900",DPC,"0,014100"
"63,464294900",Interrupt,"0,004600"
"63,464300600",DPC,
"63,483295900",Interrupt,"0,004100"
"63,483301200",DPC,"0,027900"
"63,964295500",Interrupt,"0,004600"
"63,964301100",DPC,"0,028500"
"63,983309700",Interrupt,"0,003400"
"63,983320600",DPC,"0,019300"
"64,464296100",Interrupt,"0,004500"
"64,464301800",DPC,"0,029100"
"64,483300200",Interrupt,"0,002900"
"64,483304800",DPC,"0,013300"
"64,964296400",Interrupt,"0,004200"
"64,964301800",DPC,"0,028400"
"64,983296400",Interrupt,"0,002700"
"64,983300200",DPC,"0,013200"
"65,464296800",Interrupt,"0,004400"
"65,464302400",DPC,"0,028600"
"65,483296700",Interrupt,"0,003200"
"65,483301100",DPC,"0,013900"
"65,964300800",Interrupt,"0,003800"
"65,964314900",DPC,"0,024100"
"65,983326200",Interrupt,"0,003000"
"65,983357000",DPC,"0,020800"
"66,464298000",Interrupt,"0,004400"
"66,464303700",DPC,"0,028900"
"66,483297800",Interrupt,"0,003300"
"66,483302400",DPC,"0,017800"
"66,964298200",Interrupt,"0,004300"
"66,964303700",DPC,"0,029200"
"66,983297900",Interrupt,"0,003000"
"66,983302100",DPC,"0,014900"
"67,464299000",Interrupt,"0,004600"
"67,464304900",DPC,"0,028800"
"67,483298500",Interrupt,"0,003800"
"67,483303500",DPC,
"67,964299300",Interrupt,"0,003900"
"67,964304500",DPC,
"67,983299400",Interrupt,"0,003400"
"67,983304000",DPC,"0,028400"
"68,464303000",Interrupt,"0,004300"
"68,464331500",DPC,"0,023700"
"68,483299900",Interrupt,"0,003200"
"68,483304300",DPC,"0,015800"
"68,964300100",Interrupt,"0,004400"
"68,964305700",DPC,
"68,983300300",Interrupt,"0,003600"
"68,983321800",DPC,"0,014700"
"69,464301000",Interrupt,"0,004500"
"69,464306600",DPC,"0,028900"
"69,483300600",Interrupt,"0,003400"
"69,483305300",DPC,"0,015600"
"69,964301200",Interrupt,"0,004400"
"69,964306800",DPC,
"69,983302100",Interrupt,"0,003000"
"69,983306300",DPC,"0,014600"
"70,464301900",Interrupt,"0,006000"
"70,464310900",DPC,"0,025500"
"70,483302100",Interrupt,"0,002900"
"70,483306200",DPC,"0,015800"
"70,964302100",Interrupt,"0,004000"
"70,964307300",DPC,
"70,983302200",Interrupt,"0,003100"
"70,983306500",DPC,"0,014200"
"71,464302600",Interrupt,"0,004300"
"71,464336400",DPC,"0,034100"
"71,483302600",Interrupt,"0,003200"
"71,483307000",DPC,"0,015200"
"71,964303400",Interrupt,"0,004400"
"71,964308900",DPC,"0,029200"
"71,983302800",Interrupt,"0,002800"
"71,983306800",DPC,"0,015500"
"72,464303900",Interrupt,"0,004700"
"72,464309800",DPC,"0,028500"
"72,483303400",Interrupt,"0,003100"
"72,483307700",DPC,"0,015900"
"72,964304100",Interrupt,"0,004500"
"72,964311300",DPC,"0,027600"
"72,983304100",Interrupt,"0,003100"
"72,983308400",DPC,
"73,464304500",Interrupt,"0,004100"
"73,464309800",DPC,"0,029600"
"73,483304500",Interrupt,"0,003500"
"73,483325400",DPC,"0,017400"
"73,964305100",Interrupt,"0,004600"
"73,964310900",DPC,
"73,983305100",Interrupt,"0,003000"
"73,983309200",DPC,"0,015900"
"74,464305600",Interrupt,"0,004500"
"74,464311300",DPC,"0,029200"
"74,483305400",Interrupt,"0,003200"
"74,483309800",DPC,"0,014900"
"74,964306300",Interrupt,"0,004500"
"74,964312000",DPC,"0,028800"
"74,983305700",Interrupt,"0,003500"
"74,983310400",DPC,
"75,464306500",Interrupt,"0,004600"
"75,464312300",DPC,"0,028900"
"75,483306300",Interrupt,"0,002900"
"75,483310400",DPC,"0,016000"
"75,964314300",Interrupt,"0,003900"
"75,964325500",DPC,"0,024100"
"75,983306900",Interrupt,"0,003400"
"75,983311400",DPC,"0,017600"
"76,464307600",Interrupt,"0,004000"
"76,464312800",DPC,
"76,483332900",Interrupt,"0,002400"
"76,483362600",DPC,"0,019900"
"76,964308100",Interrupt,"0,004200"
"76,964313500",DPC,"0,028900"
